MouseID,0-frame-rel,0-frame-abs,0-bout-avglen,0-bout-freq,1-bout-avglen,1-bout-freq,1-frame-abs,1-frame-rel,10-bout-avglen,10-bout-freq,10-frame-abs,10-frame-rel,11-bout-avglen,11-bout-freq,11-frame-abs,11-frame-rel,12-bout-avglen,12-bout-freq,12-frame-abs,12-frame-rel,13-bout-avglen,13-bout-freq,13-frame-abs,13-frame-rel,14-bout-avglen,14-bout-freq,14-frame-abs,14-frame-rel,2-bout-avglen,2-bout-freq,2-frame-abs,2-frame-rel,3-bout-avglen,3-bout-freq,3-frame-abs,3-frame-rel,4-bout-avglen,4-bout-freq,4-frame-abs,4-frame-rel,5-bout-avglen,5-bout-freq,5-frame-abs,5-frame-rel,6-bout-avglen,6-bout-freq,6-frame-abs,6-frame-rel,7-bout-avglen,7-bout-freq,7-frame-abs,7-frame-rel,8-bout-avglen,8-bout-freq,8-frame-abs,8-frame-rel,9-bout-avglen,9-bout-freq,9-frame-abs,9-frame-rel,Strain
LL1-3_100007-F-AX4-8-42402-3-S015,0.0687049060378442,7418,11.7373417721519,632.0,16.554671968190856,1006.0,16654.0,0.1542479785864461,25.186770428015564,257.0,6473.0,0.0599523937426483,36.10112359550562,89.0,3213.0,0.0297585418036658,26.420118343195263,169.0,4465.0,0.0413544628550787,28.2078431372549,255.0,7193.0,0.066620974538988,21.649122807017545,171.0,3702.0,0.0342876195945132,26.390243902439025,41.0,1082.0,0.0100213950300549,16.9625,320.0,5428.0,0.0502736896701831,12.057616416732438,1267.0,15277.0,0.1414943178134464,22.743589743589745,39.0,887.0,0.0082153210643795,10.418879056047198,678.0,7064.0,0.0654261871463105,15.460547504025763,621.0,9601.0,0.0889236725356352,21.93095512082854,869.0,19058.0,0.1765136289120025,18.16,25.0,454.0,0.004204910668803,CB6F1/J
LL2-2_000653-F-AX10-4.28571428571429-42654-2-S336,0.0653984013929924,7061,10.0014164305949,706.0,13.81977818853974,1082.0,14953.0,0.1384934564550936,22.860294117647054,272.0,6218.0,0.0575906047106113,22.89090909090909,55.0,1259.0,0.0116607544758217,19.729411764705883,170.0,3354.0,0.0310644722096157,11.671794871794871,195.0,2276.0,0.0210801248506515,15.397435897435898,312.0,4804.0,0.044494252980022,13.464285714285714,28.0,377.0,0.0034917430003056,31.886554621848735,238.0,7589.0,0.0702886939769748,8.456018518518519,1296.0,10959.0,0.1015013568709537,66.13475177304964,141.0,9325.0,0.0863673832303716,9.555555555555555,891.0,8514.0,0.0788559679167168,14.42407660738714,731.0,10544.0,0.0976576609952856,17.11622073578595,1196.0,20471.0,0.1896007187248191,13.25,20.0,265.0,0.0024544082097639,BUB/BnJ
LL3-3_NZB_M,0.0231733182672804,2502,9.513307984790874,263.0,17.227642276422763,246.0,4238.0,0.0392520075206772,99.2638036809816,163.0,16180.0,0.1498578295621891,27.39072847682119,151.0,4136.0,0.0383072919078624,17.612903225806452,62.0,1092.0,0.0101140142077818,16.267857142857142,56.0,911.0,0.0084376070909242,73.63313609467455,169.0,12444.0,0.1152553047634043,110.3813813813814,333.0,36757.0,0.3404403115709138,19.204761904761902,210.0,4033.0,0.0373533143772749,12.188585607940446,403.0,4912.0,0.045494540099473,24.96212121212121,132.0,3295.0,0.0305180190610267,12.789473684210526,228.0,2916.0,0.0270077522251757,10.9392523364486,214.0,2341.0,0.0216821495058766,12.986301369863014,219.0,2844.0,0.0263408941455417,27.07514450867052,346.0,9368.0,0.0867656456945975,NZB/BlNJ
LL6-2_NZWLacJ_F,0.0409562003908529,4422,12.634285714285712,350.0,16.992565055762082,269.0,4571.0,0.0423362261389843,26.76635514018692,107.0,2864.0,0.0265261325009956,44.45,120.0,5334.0,0.0494030693995498,37.30769230769231,78.0,2910.0,0.0269521807185395,30.91150442477876,113.0,3493.0,0.0323518787800201,31.248979591836736,245.0,7656.0,0.0709092424677453,48.16666666666666,264.0,12716.0,0.117774546397577,21.8015873015873,126.0,2747.0,0.0254424881215904,11.40759493670886,395.0,4506.0,0.0417342014837592,47.38775510204081,147.0,6966.0,0.0645185192045865,12.443627450980392,408.0,5077.0,0.0470227565319675,15.25766871165644,163.0,2487.0,0.02303438950069,21.63802083333333,384.0,8309.0,0.0769572747733145,121.9820143884892,278.0,33911.0,0.3140808935898267,NZW/LacJ
LL6-4_NZWLacJ_F,0.0443831099667497,4792,11.890818858560792,403.0,12.836820083682008,239.0,3068.0,0.0284155637266252,19.406779661016948,59.0,1145.0,0.0106048958497346,51.68518518518518,54.0,2791.0,0.0258500125035889,17.0,58.0,986.0,0.0091322509238762,19.52892561983471,121.0,2363.0,0.0218859116968759,26.835680751173708,213.0,5716.0,0.0529411219887189,98.9012987012987,385.0,38077.0,0.3526660430308699,32.06542056074766,107.0,3431.0,0.0317776398781131,14.65009940357853,503.0,7369.0,0.0682510720669822,26.46153846153846,52.0,1376.0,0.0127443988552269,12.087855297157622,387.0,4678.0,0.0433272513406626,15.806666666666668,150.0,2371.0,0.0219600070390575,22.00440528634361,454.0,9990.0,0.0925265585492132,47.180952380952384,420.0,19816.0,0.1835341625837045,NZW/LacJ
LL6-1_C3HeB,0.0700622445647333,7080,11.530944625407166,614.0,14.501344086021506,744.0,10789.0,0.1067657565831791,21.49253731343284,134.0,2880.0,0.0284998960941288,32.32142857142857,56.0,1810.0,0.0179113930313795,18.89565217391304,230.0,4346.0,0.0430071348698207,18.370253164556964,316.0,5805.0,0.0574451030647284,20.63888888888889,324.0,6687.0,0.0661731962435553,135.02,50.0,6751.0,0.0668065272678693,15.724137931034482,203.0,3192.0,0.0315873848376594,10.628884826325413,1094.0,11628.0,0.1150683304800451,36.017857142857146,112.0,4034.0,0.0399196461262901,10.83741935483871,775.0,8399.0,0.0831148011439541,12.797348484848484,528.0,6757.0,0.0668659020513987,21.3446261682243,856.0,18271.0,0.1808061116443846,57.04347826086956,46.0,2624.0,0.0259665719968729,C3HeB/FeJ
LL5-3_000550-M-AX11-7.85714285714286-42648-3-S367,0.0285267067398975,3080,11.937984496124033,258.0,13.420118343195266,507.0,6804.0,0.06301808852541,30.071161048689135,267.0,8029.0,0.0743639377969602,29.479674796747968,246.0,7252.0,0.0671674276875769,17.950943396226414,265.0,4757.0,0.0440589428447054,20.913165266106443,357.0,7466.0,0.0691494780909335,27.19756838905775,329.0,8948.0,0.082875640230066,40.60700389105058,257.0,10436.0,0.0966573738758347,19.05586592178771,358.0,6822.0,0.0631848030453185,10.554848966613672,629.0,6639.0,0.0614898720929155,31.775590551181104,254.0,8071.0,0.0747529383434133,10.458791208791208,364.0,3807.0,0.0352601209606461,16.015243902439025,328.0,5253.0,0.0486528540599616,16.1242774566474,346.0,5579.0,0.0516722392538599,40.1764705882353,374.0,15026.0,0.1391695764525002,MOLF/EiJ
LL4-2_000686-F-MP13-10-42409-7-S116,0.0231733182672804,2502,10.738197424892704,233.0,15.005586592178773,358.0,5372.0,0.0497550222749122,20.831521739130437,184.0,3833.0,0.0355009308227361,73.11510791366906,139.0,10163.0,0.0941288703238892,19.860103626943005,193.0,3833.0,0.0355009308227361,25.639130434782608,230.0,5897.0,0.0546175291055766,28.19148936170213,188.0,5300.0,0.0490881641952782,51.60386473429951,207.0,10682.0,0.0989358056479174,59.984375,320.0,19195.0,0.1777825116468616,13.171521035598705,309.0,4070.0,0.0376960053348646,16.45,140.0,2303.0,0.0213301966305143,10.505119453924914,293.0,3078.0,0.0285081829043521,15.17488789237668,223.0,3384.0,0.0313423297427965,27.843657817109143,339.0,9439.0,0.0874232418564587,76.28225806451613,248.0,18918.0,0.1752169604238253,SJL/J
LL3-4_C3HHeO_F,0.0651946392019931,7039,10.201449275362318,690.0,14.098339719029374,783.0,11039.0,0.1022423102927692,32.151785714285715,224.0,7202.0,0.0667043317989422,37.95454545454545,44.0,1670.0,0.015467402680399,13.74,200.0,2748.0,0.0254517500393631,17.4,365.0,6351.0,0.0588224397743796,28.731800766283524,522.0,14998.0,0.1389102427548648,28.153846153846157,26.0,732.0,0.006779723809612,19.90155440414508,386.0,7682.0,0.0711500523298354,11.275267050123254,1217.0,13722.0,0.1270920356769072,18.54700854700855,117.0,2170.0,0.020098361566746,9.049253731343285,670.0,6063.0,0.0561550074558438,13.122004357298476,459.0,6023.0,0.055784530744936,22.756038647342997,828.0,18842.0,0.1745130546731006,30.69090909090909,55.0,1688.0,0.0156341172003074,C3H/HeOuJ
LL6-4_000687-F-AX11-7.71428571428571-42630-1-S323,0.081180709277663,8765,10.19186046511628,860.0,13.15906976744186,1075.0,14146.0,0.1310190888125295,21.191685912240185,433.0,9176.0,0.0849873574822402,31.75,20.0,635.0,0.0058813177856606,16.740088105726873,227.0,3800.0,0.0351952875362372,13.399193548387096,248.0,3323.0,0.0307773527586622,14.973228346456692,635.0,9508.0,0.0880623141827746,15.833333333333334,12.0,190.0,0.0017597643768118,16.976019184652277,417.0,7079.0,0.0655651159129009,11.126976744186049,2150.0,23923.0,0.2215728588761589,31.357894736842105,95.0,2979.0,0.0275912530448554,9.625349487418452,1073.0,10328.0,0.0956570867563837,13.771822358346094,653.0,8993.0,0.0832924265298372,8.383944153577662,573.0,4804.0,0.044494252980022,26.666666666666668,12.0,320.0,0.002963813687262,SM/J
